description,fraudulent
"Immediate hiring. Work from home and earn 5000 dollars weekly. No interview required. Send your bank details to get started today.",1
"We are seeking a Python developer with experience in Flask, SQL, and REST APIs for a full-time onsite role in Riyadh.",0
"Limited spots available. Pay registration fees now to secure your employment package and visa support.",1
"Our company is hiring a data analyst to prepare reports, build dashboards, and collaborate with business teams.",0
"Earn fast cash by reposting ads online. No skills needed and no formal application process.",1
"The marketing coordinator will manage campaign schedules, vendor communication, and monthly performance reporting.",0
"Congratulations, you are preselected. Purchase the training kit before final onboarding.",1
"Looking for a customer support specialist with strong communication skills and prior CRM experience.",0
"Get rich from home in two days. No background check. Guaranteed acceptance after payment.",1
"The finance assistant will reconcile invoices, maintain records, and support quarterly closing tasks.",0
